"","ID","year","Midterm","AreaAll","R_seats","D_seats","Other_seats","total_votes","R_votes","D_votes","Other_votes","winning_vote_margin","winner_party","R_totalvote_pct","D_totalvote_pct","Other_totalvote_pct","R_majorvote_pct","D_majorvote_pct","R_majorvote_pct_lag","D_majorvote_pct_lag","president_party","Pres_D","Pres_R","H_incumbent_party_winner","H_incumbent_party_majorvote_pct","H_incumbent_party","H_inc_D","H_inc_R","US_Unemployment.Rate","US_CPI","GDP_Growth_Pct","...1","STATENAME","DISTRICT","avg_rating","Close_E_D","LLS_R","LLS_D","St_AVG_R","cvap","RepVotes","DemVotes","RepVotesMajorPercent","DemVotesMajorPercent","Incumbent_R","Incumbent_D","Open_seat","voterTR","D_2012","D_2014","D_2016","D_2018","D_2020","MidtermE_D","PresE_D","st_cd_fips","est_cost_sum"
"73",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,41,"Iowa",2,1.9642857,1,0,0,2.0357,580155,161977,211863,43.33,56.67,0,1,0,0.644379519,1,0,0,0,0,0,1,1902,1998460
"74",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,42,"Iowa",3,4.2857143,0,0,1,0.2857,589474,202000,168632,54.5,45.5,1,0,0,0.628750377,1,0,0,0,0,0,1,1903,5164430
"75",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,43,"Iowa",4,4.7857143,0,0,1,0.7857,563609,200063,169470,54.14,45.86,1,0,0,0.655654896,1,0,0,0,0,0,1,1904,3273760
"76",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,44,"Kentucky",6,3.9285714,0,0,1,0.0714,569798,153222,141438,52,48,0,1,0,0.517130632,1,0,0,0,0,0,1,2106,6397660
"77",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,45,"Maine",2,1.4285714,1,0,0,2.5714,520828,137542,191456,41.81,58.19,0,1,0,0.631682628,1,0,0,0,0,0,1,2302,996820
"78",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,46,"Maryland",6,2.1785714,1,0,0,1.8214,521983,117313,181921,39.2,60.8,1,0,0,0.57326388,1,0,0,0,0,0,1,2406,247090
"79",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,47,"Massachusetts",6,4.9285714,0,0,1,0.9286,567997,176612,180942,49.39,50.61,0,1,0,0.629499804,1,0,0,0,0,0,1,2506,5919060
"80",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,48,"Michigan",1,3.8571429,0,0,1,0.1429,562349,167060,165179,50.28,49.72,1,0,0,0.59080571,1,0,0,0,0,0,1,NA,NA
"81",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,49,"Michigan",3,6.0714286,0,1,0,2.0714,538607,171675,144108,54.36,45.64,1,0,0,0.586295759,1,0,0,0,0,0,1,2603,1731220
"82",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,50,"Michigan",6,6.8571429,0,1,0,2.8571,536350,174955,136563,56.16,43.84,1,0,0,0.580811038,1,0,0,0,0,0,1,2606,2331940
"83",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,51,"Michigan",7,6.7857143,0,1,0,2.7857,542743,169668,136849,55.35,44.65,1,0,0,0.564755326,1,0,0,0,0,0,1,2607,91640
"84",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,52,"Michigan",11,5.2857143,0,1,0,1.2857,527362,181788,158879,53.36,46.64,0,0,1,0.645983215,1,0,0,0,0,0,1,2611,700130
"85",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,53,"Minnesota",2,6.3571429,0,1,0,2.3571,499925,193587,164338,54.09,45.91,1,0,0,0.715957394,1,0,0,0,0,0,1,2702,1023920
"86",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,54,"Minnesota",6,5.5,0,1,0,1.5,510172,179240,174944,50.61,49.39,1,0,0,0.694244294,1,0,0,0,0,0,1,2706,4745810
"87",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,55,"Minnesota",7,1.1428571,1,0,0,2.8571,496634,114151,197791,36.59,63.41,0,1,0,0.628112453,1,0,0,0,0,0,1,2707,165790
"88",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,56,"Minnesota",8,3.8571429,0,0,1,0.1429,519505,160520,191976,45.54,54.46,1,0,0,0.678522825,1,0,0,0,0,0,1,2708,8985590
"89",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,57,"Montana",0,6.2857143,0,1,0,2.2857,804263,255468,204939,55.49,44.51,0,0,1,0.572458263,1,0,0,0,0,0,1,3001,874480
"90",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,58,"Nebraska",2,6.4285714,0,1,0,2.4286,454282,133964,129767,50.8,49.2,1,0,0,0.580544684,1,0,0,0,0,0,1,3102,844920
"91",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,59,"Nevada",3,5,0,1,0,1,563428,137244,116823,54.02,45.98,1,0,0,0.450930731,1,0,0,0,0,0,1,3203,7709710
"92",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,60,"Nevada",4,3.6428571,0,0,1,0.3571,493015,101261,120501,45.66,54.34,0,0,1,0.449807815,1,0,0,0,0,0,1,3204,6928950
"93",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,61,"New Hampshire",1,4.3571429,0,0,1,0.3571,NA,158659,171650,48.03,51.97,1,0,0,NA,1,0,0,0,0,0,1,3301,2753980
"94",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,62,"New Hampshire",2,3.4285714,0,0,1,0.5714,NA,152977,169275,47.47,52.53,1,0,0,NA,1,0,0,0,0,0,1,3302,3540740
"95",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,63,"New Jersey",3,5.8214286,0,1,0,1.8214,NA,174257,145509,54.5,45.5,1,0,0,NA,1,0,0,0,0,0,1,3403,2243050
"96",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,64,"New Jersey",5,6.8571429,0,1,0,2.8571,NA,167503,130102,56.28,43.72,1,0,0,NA,1,0,0,0,0,0,1,NA,NA
"97",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,65,"New Jersey",7,6.8571429,0,1,0,2.8571,NA,175704,123090,58.8,41.2,1,0,0,NA,1,0,0,0,0,0,1,NA,NA
"98",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,66,"New Jersey",9,1.1428571,1,0,0,2.8571,NA,55094,162834,25.28,74.72,0,1,0,NA,1,0,0,0,0,0,1,3409,736600
"99",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,67,"New Mexico",1,1.3571429,1,0,0,2.6429,NA,112473,162924,40.84,59.16,0,0,1,NA,1,0,0,0,0,0,1,3501,1271210
"100",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,68,"New York",1,3.5714286,0,0,1,0.4286,NA,132304,146179,47.51,52.49,0,1,0,NA,1,0,0,0,0,0,1,3601,447540
"101",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,69,"New York",11,5.6428571,0,1,0,1.6429,NA,103118,92430,52.73,47.27,1,0,0,NA,1,0,0,0,0,0,1,NA,NA
"102",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,70,"New York",18,4.5,0,0,1,0.5,NA,133049,143845,48.05,51.95,1,0,0,NA,1,0,0,0,0,0,1,3618,703680
"103",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,71,"New York",19,4.5,0,0,1,0.5,NA,150245,134295,52.8,47.2,1,0,0,NA,1,0,0,0,0,0,1,3619,3054680
"104",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,72,"New York",21,3.3571429,0,0,1,0.6429,NA,121646,126631,49,51,0,1,0,NA,1,0,0,0,0,0,1,3621,5637560
"105",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,73,"New York",22,6.6428571,0,1,0,2.6429,NA,157941,102080,60.74,39.26,1,0,0,NA,1,0,0,0,0,0,1,3622,269200
"106",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,74,"New York",23,6.7857143,0,1,0,2.7857,NA,137669,127535,51.91,48.09,1,0,0,NA,1,0,0,0,0,0,1,3623,510820
"107",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,75,"New York",24,3.5714286,0,0,1,0.4286,NA,127054,143044,47.04,52.96,1,0,0,NA,1,0,0,0,0,0,1,3624,4060220
"108",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,76,"New York",25,2.3214286,1,0,0,1.6786,NA,133389,179810,42.59,57.41,0,1,0,NA,1,0,0,0,0,0,1,3625,4191170
"109",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,77,"New York",27,4.2857143,0,0,1,0.2857,NA,161220,156219,50.79,49.21,0,1,0,NA,1,0,0,0,0,0,1,3627,5968730
"110",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,78,"North Carolina",7,3.9285714,0,0,1,0.0714,NA,168041,168695,49.9,50.1,0,1,0,NA,1,0,0,0,0,0,1,3707,5822710
"111",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,79,"North Carolina",8,5.75,0,1,0,1.75,NA,160695,137139,53.95,46.05,0,1,0,NA,1,0,0,0,0,0,1,3708,3673880
"112",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,80,"North Carolina",11,6.1071429,0,1,0,2.1071,NA,190319,141107,57.42,42.58,0,0,1,NA,1,0,0,0,0,0,1,3711,327590
"113",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,81,"North Carolina",13,6.5,0,1,0,2.5,NA,210495,160115,56.8,43.2,0,0,1,NA,1,0,0,0,0,0,1,3713,607990
"114",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,82,"North Dakota",0,6.2857143,0,1,0,2.2857,NA,173433,131869,56.81,43.19,0,0,1,NA,1,0,0,0,0,0,1,3801,747740
"115",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,83,"Ohio",6,4.6428571,0,0,1,0.6429,550236,164536,144444,53.25,46.75,1,0,0,0.561540866,1,0,0,0,0,0,1,3906,3361860
"116",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,84,"Ohio",7,6.3571429,0,1,0,2.3571,551430,178104,137708,56.4,43.6,1,0,0,0.572714578,1,0,0,0,0,0,1,3907,599770
"117",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,85,"Ohio",9,1.1428571,1,0,0,2.8571,538404,68666,217775,23.97,76.03,0,1,0,0.532018707,1,0,0,0,0,0,1,3909,744750
"118",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,86,"Ohio",16,4.1428571,0,0,1,0.1429,556785,185167,170604,52.05,47.95,1,0,0,0.638973751,1,0,0,0,0,0,1,3916,9479350
"119",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,87,"Oklahoma",2,6,0,1,0,2,562498,143701,96081,59.93,40.07,0,0,1,0.426280627,1,0,0,0,0,0,1,4002,2568280
"120",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,88,"Oregon",5,1.3571429,1,0,0,2.6429,586219,139223,177229,43.99,56.01,0,1,0,0.539818737,1,0,0,0,0,0,1,4105,404440
"121",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,89,"Pennsylvania",6,6.2142857,0,1,0,2.2143,516389,191725,143803,57.14,42.86,1,0,0,0.649758225,1,0,0,0,0,0,1,4206,468560
"122",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,90,"Pennsylvania",7,6.6428571,0,1,0,2.6429,541680,209942,143509,59.4,40.6,1,0,0,0.652508861,1,0,0,0,0,0,1,NA,NA
"123",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,91,"Pennsylvania",8,5.8214286,0,1,0,1.8214,537910,199379,152859,56.6,43.4,1,0,0,0.654827016,1,0,0,0,0,0,1,4208,1602750
"124",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,92,"Pennsylvania",11,6.8571429,0,1,0,2.8571,545860,166967,118231,58.54,41.46,1,0,0,0.522474627,1,0,0,0,0,0,1,4211,558990
"125",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,93,"Pennsylvania",12,3.8571429,0,0,1,0.1429,551580,175352,163589,51.74,48.26,0,1,0,0.614491098,1,0,0,0,0,0,1,4212,14110330
"126",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,94,"Pennsylvania",15,6.8571429,0,1,0,2.8571,549483,168960,128764,56.75,43.25,1,0,0,0.54182568,1,0,0,0,0,0,1,4215,99770
"127",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,95,"Pennsylvania",18,6.8571429,0,1,0,2.8571,553521,216727,122146,63.96,36.04,1,0,0,0.612213448,1,0,0,0,0,0,1,4218,1861950
"128",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,96,"Rhode Island",1,3.5,0,0,1,0.5,NA,83737,108612,43.53,56.47,0,1,0,NA,1,0,0,0,0,0,1,4401,2490500
"129",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,97,"South Dakota",0,6.7142857,0,1,0,2.7143,NA,207640,153789,57.45,42.55,1,0,0,NA,1,0,0,0,0,0,1,4601,1369210
"130",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,98,"Tennessee",4,5.1428571,0,1,0,1.1429,567085,128568,102022,55.76,44.24,1,0,0,0.406623346,1,0,0,0,0,0,1,4704,2034410
"131",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,99,"Texas",10,6.8571429,0,1,0,2.8571,548535,159783,95710,62.54,37.46,1,0,0,0.465773378,1,0,0,0,0,0,1,NA,NA
"132",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,100,"Texas",14,5.5,0,1,0,1.5,519429,131460,109697,54.51,45.49,0,0,1,0.464273269,1,0,0,0,0,0,1,4814,30770
"133",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,101,"Texas",23,4.0714286,0,0,1,0.0714,474242,87547,96676,47.52,52.48,1,0,0,0.388457792,1,0,0,0,0,0,1,4823,10665280
"134",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,102,"Texas",34,1.1428571,1,0,0,2.8571,417848,52448,89606,36.92,63.08,0,0,1,0.339965729,1,0,0,0,0,0,1,4834,256130
"135",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,103,"Utah",4,4.4285714,0,0,1,0.4286,495024,119035,119803,49.84,50.16,0,1,0,0.482477617,1,0,0,0,0,0,1,4904,7255120
"136",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,104,"Virginia",2,5.8214286,0,1,0,1.8214,554237,166231,142548,53.83,46.17,1,0,0,0.557124479,1,0,0,0,0,0,1,5102,2276870
"137",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,105,"Virginia",5,6.8571429,0,1,0,2.8571,570230,193009,149214,56.4,43.6,1,0,0,0.600149063,1,0,0,0,0,0,1,5105,940420
"138",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,106,"Washington",1,2.5714286,1,0,0,1.4286,506579,151187,177025,46.06,53.94,0,1,0,0.647898946,1,0,0,0,0,0,1,5301,3764550
"139",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,107,"Washington",3,6.8571429,0,1,0,2.8571,523293,177446,116438,60.38,39.62,1,0,0,0.561605066,1,0,0,0,0,0,1,5303,596940
"140",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,108,"Washington",10,1.3571429,1,0,0,2.6429,530202,115381,163036,41.44,58.56,0,0,1,0.525114956,1,0,0,0,0,0,1,5310,1222410
"141",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,109,"West Virginia",3,1.9285714,1,0,0,2.0714,NA,92238,108199,46.02,53.98,0,1,0,NA,1,0,0,0,0,0,1,5403,1220130
"142",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,110,"Wisconsin",7,5.1428571,0,1,0,1.1429,547760,201720,157524,56.15,43.85,1,0,0,0.655841975,1,0,0,0,0,0,1,5507,2275340
"143",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,111,"Wisconsin",8,6.2142857,0,1,0,2.2143,546843,198874,156287,56,44,1,0,0,0.649475261,1,0,0,0,0,0,1,5508,1306500
"144",34,2014,1,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,49.39,50.61,"D",1,0,FALSE,47.09,"D",1,0,18.475,236.72,2.526,112,"Alaska",0,6.4,0,1,0,2.4,530385,142572,114602,55.44,44.56,1,0,0,0.484881737,0,1,0,0,0,1,0,201,141000
"145",34,2014,1,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,49.39,50.61,"D",1,0,FALSE,47.09,"D",1,0,18.475,236.72,2.526,113,"Arizona",1,4.2,0,0,1,0.2,549353,87723,97391,47.39,52.61,0,1,0,0.336967305,0,1,0,0,0,1,0,401,15750695.7
"146",34,2014,1,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,49.39,50.61,"D",1,0,FALSE,47.09,"D",1,0,18.475,236.72,2.526,114,"Arizona",2,3.8,0,0,1,0.2,539385,109704,109543,50.04,49.96,0,1,0,0.406475894,0,1,0,0,0,1,0,402,10647365.2
"147",34,2014,1,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,49.39,50.61,"D",1,0,FALSE,47.09,"D",1,0,18.475,236.72,2.526,115,"Arizona",9,2.35,1,0,0,1.65,544288,67841,88609,43.36,56.64,0,1,0,0.287439738,0,1,0,0,0,1,0,409,4276881.3
